precision
0.5000
0.6667
1.0000
0.7500
0.7500
0.8333
0.5000
0.6667
0.4000
0.6667
0.7143
0.6667
0.5000
1.0000
0.6667
0.6667
0.6667
0.2857
1.0000
0.8000
0.8000
0.6667
1.0000
1.0000
1.0000
0.6250
